Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-03-03T05:30:49Z,32.3182,-86.9023,494421,9991,285130,199300,1,10083.67010422817,2295722,NA,2.0207475006118267,84000001,USA,46821.03571454065,NA
Alaska,US,2021-03-03T05:30:49Z,61.3707,-152.4044,58802,302,NA,58500,2,8038.056442187425,1704660,NA,0.5135879731981905,84000002,USA,233021.8920230471,NA
American Samoa,US,2021-03-03T05:30:49Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA
Arizona,US,2021-03-03T05:30:49Z,33.7298,-111.4312,818670,16060,NA,802610,4,11247.4492413979,3771087,NA,1.9617183969120648,84000004,USA,51809.776365807316,NA
Arkansas,US,2021-03-03T05:30:49Z,34.9697,-92.3731,322949,5254,313426,4269,5,10701.45708601354,2702395,NA,1.6268822631437159,84000005,USA,89548.39346756779,NA
California,US,2021-03-03T08:31:00Z,36.1162,-119.6816,3577966,52798,NA,3525168,6,9055.339660337511,48897190,NA,1.475642865248021,84000006,USA,123752.0602169106,NA
Colorado,US,2021-03-03T05:30:49Z,39.0598,-105.3111,430615,5959,NA,424656,8,7477.595777962387,6243861,NA,1.383834747976731,84000008,USA,108424.15766237592,NA
Connecticut,US,2021-03-03T05:30:49Z,41.5978,-72.7554,283128,7658,NA,275470,9,7941.240074080993,6418467,NA,2.7047837020711483,84000009,USA,180026.65704051315,NA
Delaware,US,2021-03-03T05:30:49Z,39.3185,-75.5071,87193,1426,NA,85767,10,8954.222994483263,1405303,NA,1.6354523872329199,84000010,USA,144316.59005672837,NA
Diamond Princess,US,2021-03-03T05:30:49Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA
District of Columbia,US,2021-03-03T05:30:49Z,38.8974,-77.0268,40767,1019,29111,10637,11,5776.416261305365,1233844,NA,2.49957073122869,84000011,USA,174827.59451306346,NA
Florida,US,2021-03-03T05:30:49Z,27.7663,-81.6868,1918100,31135,NA,1886965,12,8930.64292574213,21901603,NA,1.6232208956780148,84000012,USA,101973.51331753434,NA
Georgia,US,2021-03-03T05:30:49Z,33.0406,-83.6431,1011807,17480,NA,994327,13,9529.685310644587,7234444,NA,1.7276022008149776,84000013,USA,68137.47554373599,NA
Grand Princess,US,2021-03-03T05:30:49Z,NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233015,84099999,USA,NA,NA
Guam,US,2021-03-03T05:30:49Z,13.4443,144.7937,7742,131,7580,31,66,4714.14914540063,119289,NA,1.6920692327563938,316,GUM,72635.77078347918,NA
Hawaii,US,2021-03-03T05:30:49Z,21.0943,-157.4983,27818,438,NA,27380,15,1964.7256249152465,1120660,NA,1.574520094902581,84000015,USA,79149.81015233016,NA
Idaho,US,2021-03-03T05:30:49Z,44.2405,-114.4788,171836,1871,94707,75258,16,9615.542803423492,640412,NA,1.0888288833538955,84000016,USA,35835.965675563006,NA
Illinois,US,2021-03-03T05:30:49Z,40.3495,-88.9861,1189326,22803,NA,1166523,17,9385.596592628637,18234668,NA,1.917304422841172,84000017,USA,143899.3495883504,NA
Indiana,US,2021-03-03T05:30:49Z,39.8494,-86.2583,662750,12623,NA,650127,18,9844.45099008217,8056112,NA,1.9046397585816672,84000018,USA,119665.03169311635,NA
Iowa,US,2021-03-03T05:30:49Z,42.0115,-93.2105,337592,5498,316185,43099,19,11561.772005058523,1316616,NA,1.5072015614805556,84000019,USA,41730.16763494947,NA
Kansas,US,2021-03-03T05:30:49Z,38.5266,-96.7265,296654,4700,NA,291954,20,10182.699152923442,1259105,NA,1.5843373087839705,84000020,USA,43218.993901790185,NA
Kentucky,US,2021-03-03T05:30:49Z,37.6681,-84.6701,406201,4671,47787,353743,21,9092.003823914598,3922153,NA,1.1499233138273908,84000021,USA,87789.61665278548,NA
Louisiana,US,2021-03-03T05:30:49Z,31.1695,-91.8678,431271,9647,408463,13161,22,9277.051209410442,5608696,NA,2.2368765810824285,84000022,USA,120648.409028234,NA
Maine,US,2021-03-03T05:30:49Z,44.6939,-69.3819,44944,703,12811,31430,23,3343.5202185369567,1650133,NA,1.5641687433250266,84000023,USA,122758.38930168755,NA
Maryland,US,2021-03-03T05:30:49Z,39.0639,-76.8021,383170,7905,9677,365588,24,6337.914014635244,7917331,NA,2.063052952997364,84000024,USA,130958.48605946725,NA
