Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-03-02T05:30:53Z,32.3182,-86.9023,493769,9931,285130,198708,1,10070.372625140595,2292074,NA,2.0112643766619613,84000001,USA,46746.63509535129,NA
Alaska,US,2021-03-02T05:30:53Z,61.3707,-152.4044,58647,300,NA,58347,2,8016.868408641983,1698031,NA,0.5115351168857742,84000002,USA,232115.7276722553,NA
American Samoa,US,2021-03-02T05:30:53Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA
Arizona,US,2021-03-02T05:30:53Z,33.7298,-111.4312,817821,15979,NA,801842,4,11235.785097840733,3764864,NA,1.953850536975695,84000004,USA,51724.280529109725,NA
Arkansas,US,2021-03-02T05:30:53Z,34.9697,-92.3731,322509,5250,313002,4257,5,10686.876947608262,2698497,NA,1.6278615480498217,84000005,USA,89419.22669596832,NA
California,US,2021-03-02T08:30:59Z,36.1162,-119.6816,3573549,52491,NA,3521058,6,9044.160841064295,48712676,NA,1.468875899001245,84000006,USA,123285.0806698474,NA
Colorado,US,2021-03-02T05:30:53Z,39.0598,-105.3111,429839,5952,NA,423887,8,7464.120598686934,6229855,NA,1.384704505640484,84000008,USA,108180.94456839141,NA
Connecticut,US,2021-03-02T05:30:53Z,41.5978,-72.7554,282626,7651,NA,274975,9,7927.159861183686,6403426,NA,2.7071111645779227,84000009,USA,179604.78357001836,NA
Delaware,US,2021-03-02T05:30:53Z,39.3185,-75.5071,87080,1422,NA,85658,10,8942.618540015856,1400454,NA,1.6329811667432246,84000010,USA,143818.62545750305,NA
Diamond Princess,US,2021-03-02T05:30:53Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA
District of Columbia,US,2021-03-02T05:30:53Z,38.8974,-77.0268,40684,1019,29019,10646,11,5764.655706207164,1231593,NA,2.504670140595812,84000011,USA,174508.64259106285,NA
Florida,US,2021-03-02T05:30:53Z,27.7663,-81.6868,1910921,30999,NA,1879922,12,8897.217616548709,21784686,NA,1.62220206905466,84000012,USA,101429.14963527117,NA
