Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
New Mexico,US,2021-03-04T05:30:41Z,34.8405,-106.2485,185898,3753,150168,31977,35,8865.672880335022,2720382,NA,2.01884904625117,84000035,USA,129737.90423539544,NA
New York,US,2021-03-04T05:30:41Z,42.1657,-74.9481,1663248,47935,NA,1615313,36,8549.83825326376,38627176,NA,2.882011582157322,84000036,USA,198560.9524138023,NA
North Carolina,US,2021-03-04T05:30:41Z,35.6301,-79.8064,865554,11363,NA,854191,37,8252.73710622455,9561647,NA,1.3128008188974922,84000037,USA,91166.76601751092,NA
North Dakota,US,2021-03-04T05:30:41Z,47.5289,-99.784,100067,1478,98014,575,38,13131.083822576116,1416045,NA,1.47701040302997,84000038,USA,185817.55815143647,NA
Northern Mariana Islands,US,2021-03-04T05:30:41Z,15.0979,145.6739,144,2,29,113,69,261.13448425939356,17573,NA,1.3888888888888888,580,MNP,31867.474249238363,NA
Ohio,US,2021-03-04T05:30:41Z,40.3888,-82.7649,972605,16750,916592,39263,39,8320.614931859596,10101222,NA,1.7221790963443535,84000039,USA,86415.73773857698,NA
Oklahoma,US,2021-03-04T05:30:41Z,35.5653,-96.9289,425746,4534,408963,12249,40,10759.391463824222,3542049,NA,1.0649542215311476,84000040,USA,89514.15110194137,NA
Oregon,US,2021-03-04T05:30:41Z,44.572,-122.0709,156287,2252,NA,154035,41,3705.4704928258916,3760400,NA,1.4409387856955471,84000041,USA,89156.81560988748,NA
Pennsylvania,US,2021-03-04T05:30:41Z,40.5908,-77.2098,940923,24134,844569,72220,42,7349.818844556107,10514461,NA,2.564928267243972,84000042,USA,82131.46410296088,NA
Puerto Rico,US,2021-03-04T05:30:41Z,18.2208,-66.5901,100765,2048,91338,7379,72,3155.1238158696483,406737,NA,2.0324517441571976,630,PRI,12735.62839771124,NA
Rhode Island,US,2021-03-04T05:30:41Z,41.6809,-71.5118,127285,2534,NA,124751,44,12015.262030601467,3041681,NA,1.9908080292257533,84000044,USA,287124.1248261924,NA
South Carolina,US,2021-03-04T05:30:41Z,33.8569,-80.945,519996,8620,230793,280583,45,10099.531650039216,5078144,NA,1.6577050592696867,84000045,USA,98629.3664786974,NA
South Dakota,US,2021-03-04T05:30:41Z,44.2998,-99.4388,112833,1893,108947,1993,46,12754.405934942162,424345,NA,1.677700672675547,84000046,USA,47967.06979751519,NA
Tennessee,US,2021-03-04T05:30:41Z,35.7478,-86.6923,777935,11459,752966,13510,47,11391.348353402622,6817121,NA,1.4730022431179983,84000047,USA,99823.50720599592,NA
Texas,US,2021-03-04T05:30:41Z,31.0545,-97.5635,2675712,44463,2450229,181020,48,9227.903783989179,19707655,NA,1.6617259256601606,84000048,USA,67967.08470420333,NA
Utah,US,2021-03-04T05:30:41Z,40.15,-111.8624,372708,1955,355033,15720,49,11625.479809779168,2876176,NA,0.5245393176427661,84000049,USA,89713.46474283193,NA
Vermont,US,2021-03-04T05:30:41Z,44.0459,-72.7107,15487,207,12842,2438,50,2481.934777696402,1083198,NA,1.3366048944275843,84000050,USA,173592.48320082563,NA
Virgin Islands,US,2021-03-04T05:30:41Z,18.3358,-64.8963,2695,25,2539,131,78,2512.398851474811,48536,NA,0.927643784786642,850,VIR,45247.41768281313,NA
Virginia,US,2021-03-04T05:30:41Z,37.7693,-78.17,580108,9326,NA,570782,51,6796.399843993084,5946972,NA,1.607631682376385,84000051,USA,69673.23252399766,NA
Washington,US,2021-03-04T05:30:41Z,47.4009,-121.4905,342236,5012,NA,337224,53,4494.298212726036,5301508,NA,1.464486494699564,84000053,USA,69620.255990465,NA
West Virginia,US,2021-03-04T05:30:41Z,38.4912,-80.9545,132416,2309,123656,6451,54,7388.67961166132,2224809,NA,1.743746979217013,84000054,USA,124142.10441442582,NA
Wisconsin,US,2021-03-04T05:30:41Z,44.2685,-89.6165,619087,7069,551329,60689,55,10632.786906644198,6970553,NA,1.1418427458499372,84000055,USA,119718.88388945242,NA
Wyoming,US,2021-03-04T05:30:41Z,42.756,-107.3025,54616,682,53375,559,56,9436.743100323278,643476,NA,1.2487183243005713,84000056,USA,111182.02913475213,NA
