Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-03-04T05:30:41Z,32.3182,-86.9023,497154,10029,295690,191435,1,10139.409383900464,2305317,NA,2.017282371257196,84000001,USA,47016.724843137665,NA
Alaska,US,2021-03-04T05:30:41Z,61.3707,-152.4044,58993,303,NA,58690,2,8064.1655673950345,1711018,NA,0.5136202600308512,84000002,USA,233891.0114893821,NA
American Samoa,US,2021-03-04T05:30:41Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA
Arizona,US,2021-03-04T05:30:41Z,33.7298,-111.4312,819954,16089,NA,803865,4,11265.089712926057,3787241,NA,1.9621832444259069,84000004,USA,52031.71108314831,NA
Arkansas,US,2021-03-04T05:30:41Z,34.9697,-92.3731,323353,5261,313799,4293,5,10714.844304003838,2709946,NA,1.6270144393279171,84000005,USA,89798.60852460928,NA
California,US,2021-03-04T08:31:01Z,36.1162,-119.6816,3582320,53083,NA,3529237,6,9066.35903527878,49028048,NA,1.4818050872060564,84000006,USA,124083.24381040267,NA
Colorado,US,2021-03-04T05:30:41Z,39.0598,-105.3111,431670,5970,NA,425700,8,7495.915770405172,6273669,NA,1.383000903467927,84000008,USA,108941.77124980203,NA
Connecticut,US,2021-03-04T05:30:41Z,41.5978,-72.7554,283622,7678,NA,275944,9,7955.095901115395,6435635,NA,2.707124271036802,84000009,USA,180508.1891023079,NA
Delaware,US,2021-03-04T05:30:41Z,39.3185,-75.5071,87425,1440,NA,85985,10,8978.048069142009,1409916,NA,1.6471261080926507,84000010,USA,144790.31880414556,NA
Diamond Princess,US,2021-03-04T05:30:41Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA
District of Columbia,US,2021-03-04T05:30:41Z,38.8974,-77.0268,40818,1023,29213,10582,11,5783.642626486187,1233983,NA,2.506247243863001,84000011,USA,174847.28990051706,NA
Florida,US,2021-03-04T05:30:41Z,27.7663,-81.6868,1924114,31267,NA,1892847,12,8958.644013566234,21975593,NA,1.6250076658659518,84000012,USA,102318.00957428617,NA
Georgia,US,2021-03-04T05:30:41Z,33.0406,-83.6431,1014542,17625,NA,996917,13,9555.44485700532,7251427,NA,1.7372370981191514,84000013,USA,68297.42961168637,NA
Grand Princess,US,2021-03-04T05:30:41Z,NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233015,84099999,USA,NA,NA
Guam,US,2021-03-04T05:30:41Z,13.4443,144.7937,7745,131,7583,31,66,4715.975862971826,119670,NA,1.6914138153647515,316,GUM,72867.7639150211,NA
Hawaii,US,2021-03-04T05:30:41Z,21.0943,-157.4983,27835,440,NA,27395,15,1965.9262984224563,1124866,NA,1.5807436680438298,84000015,USA,79446.87090358451,NA
Idaho,US,2021-03-04T05:30:41Z,44.2405,-114.4788,172288,1876,94936,75476,16,9640.835671897776,641917,NA,1.088874442793462,84000016,USA,35920.1819743546,NA
Illinois,US,2021-03-04T05:30:41Z,40.3495,-88.9861,1191440,22853,NA,1168587,17,9402.279277777046,18315522,NA,1.918099106963003,84000017,USA,144537.41100036056,NA
Indiana,US,2021-03-04T05:30:41Z,39.8494,-86.2583,663511,12633,NA,650878,18,9855.75484101156,8093057,NA,1.903962406049033,84000018,USA,120213.8106321259,NA
Iowa,US,2021-03-04T05:30:41Z,42.0115,-93.2105,337041,5501,317731,41101,19,11547.54094203932,1318994,NA,1.5098824427103776,84000019,USA,41805.53838742088,NA
Kansas,US,2021-03-04T05:30:41Z,38.5266,-96.7265,297444,4772,NA,292672,20,10209.8160376808,1264760,NA,1.6043356060300429,84000020,USA,43413.10274141407,NA
Kentucky,US,2021-03-04T05:30:41Z,37.6681,-84.6701,407373,4704,47927,354742,21,9118.23671965249,3940366,NA,1.1547157028079915,84000021,USA,88197.27853851435,NA
Louisiana,US,2021-03-04T05:30:41Z,31.1695,-91.8678,431771,9668,415954,6149,22,9287.806687067658,5630195,NA,2.2391499197491265,84000022,USA,121110.87305653894,NA
Maine,US,2021-03-04T05:30:41Z,44.6939,-69.3819,45091,705,12820,31566,23,3354.4559935486373,1663423,NA,1.5635049122884832,84000023,USA,123747.07263437613,NA
Maryland,US,2021-03-04T05:30:41Z,39.0639,-76.8021,383956,7919,9685,366352,24,6350.915033544614,7948627,NA,2.062475908697872,84000024,USA,131476.14494978232,NA
Massachusetts,US,2021-03-04T05:30:41Z,42.2302,-71.5301,584743,16252,494740,73751,25,8483.754015050847,16419989,NA,2.7793406676095307,84000025,USA,238229.69681696183,NA
Michigan,US,2021-03-04T05:30:41Z,43.3266,-84.5361,650762,16550,541258,92954,26,6516.1842209215565,10395435,NA,2.543172465509664,84000026,USA,104091.15700765516,NA
Minnesota,US,2021-03-04T05:30:41Z,45.6945,-93.9002,486434,6575,473252,6607,27,8625.279096224718,6960999,NA,1.3516736083415222,84000027,USA,123430.02167517315,NA
Mississippi,US,2021-03-04T05:30:41Z,32.7416,-89.6787,295675,6743,278162,10770,28,9934.818451629944,1755049,NA,2.2805445167836305,84000028,USA,58970.46821244501,NA
Missouri,US,2021-03-04T05:30:41Z,38.4561,-92.2884,496294,8482,NA,487812,29,8086.351481434895,4508176,NA,1.7090676091187884,84000029,USA,73453.83114881348,NA
Montana,US,2021-03-04T05:30:41Z,46.9219,-110.4544,100351,1373,97327,1651,30,9389.32126222658,1086657,NA,1.3681976263315765,84000030,USA,101672.8450623048,NA
Nebraska,US,2021-03-04T05:30:41Z,41.1254,-98.2681,201608,2091,155933,43584,31,10422.206690625762,2392401,NA,1.0371612237609618,84000031,USA,123676.13243948536,NA
Nevada,US,2021-03-04T05:30:41Z,38.3135,-117.0554,294684,4987,NA,289697,32,9567.177766320929,2738065,NA,1.6923212661698632,84000032,USA,88893.7118769309,NA
New Hampshire,US,2021-03-04T05:30:41Z,43.4525,-71.5639,75990,1175,72600,2215,33,5588.687596114173,1467389,NA,1.5462560863271484,84000033,USA,107919.1828263506,NA
New Jersey,US,2021-03-04T05:30:41Z,40.2989,-74.521,799476,23449,NA,776027,34,9000.888294440898,10895827,NA,2.933046145225122,84000034,USA,122670.50130654714,NA
